title,plot,picture,address
Kathmandu FunValley,"Kathmandu Fun Valley, an amusement park located in Palase (Bhaktapur) near the tall Shiva statue officially came into operation on 29 May 2013. It is one of the best spots for having Fun. People living in and around Kathmandu were monotonous with the same old recreational activities and weekend getaways like Nagarkot and Dhulikhel. It pumped a new rush of adrenaline by offering a completely new experience with its unique amusement and water games. New of its kind activities for Nepali crowd, it attracted more than thirty thousand visitors on an opening day to beat the heat on a clear sunny day. The park also has its restaurant to cater to the hungry souls who want to grab a bit after having tried out the exhilarating rides. The park will leave you thoroughly entertained with its amazing rides and slides.",location/kathmandu-fun-valley.jpg,"Palase, Bhaktapur"
Botanical Garden,The National Botanical Garden is located in the base of Mount Phulchoki (2715m.) at Godawari (1515m.) at the south east corner of Kathmandu valley. The area of the Garden is 82 hectare. It is surrounded by evergreen natural forests. The temperature ranges between 20ï¿½C and 30ï¿½C during summer and -5ï¿½C to 20ï¿½C during winter. This Garden was graciously inaugurated by His Majesty the King Late Mahendra Bir Bikram Shah Dev on the 20th October 1962.,location/botanical.jpg,Godawari
Simba Fall,"Manikhel Village is a rural, basic but authentic village which is located at just around 40 KM from the capital city, Kathmandu.It is a Tamang Village located on the hills near Kathmandu, at a height of more than 2,000 meters from the sea level. The view from the village is outstanding and local people are very warm and welcoming. Lately, Manikhel is getting more popularity because of its nearby jaw dropping waterfall called Simba Falls.",location/simba.jpg,"Manikhel,lalitpur"
Sundarijal water fall,"Called as the ï¿½beautiful water,ï¿½ Sundarijal is located about 17 km northeast of Kathmandu.  The tiny village is the gateway to the Shivapuri National Park and along the popular Kathmandu Valley Trekking. Sundarijal is especially famous for young local travelers for day hiking, swimming, picnic, and bike riding. A couple of hours after an uphill hike, you will catch a spectacular view of the Kathmandu valley and the beautiful Tamang village called Mulkharka.  The journey to Chisapani starts from Sundarijal and continues until Nagarkot, and further to Dhulikhel and Panauti.  These areas are also famous for valley cycling tours and trekking trail for local and foreign tourists. Sundarijal also supplies water to Kathmandu as well as electricity to the valley through the Sundarijal Hydropower Station.",location/sundarijal.jpg,"Sundarijal,kathmandu"
jhor,Jhor Waterfall is one of the renowned waterfalls among Kathmandu people which lies in Tokha Mahankal. Jhor Waterfall ( Jharna) is most popular among the teenage. Neary Kathmandu and the natural spring water then what you can expect more to beat the heat in the summer. Water from Shivapuri National Park is the main source of this waterfall. Jhor lies in the border between Kathmandu and Nuwakot district. One can make a stop while visiting Shivapuri Village.,location/jhor.jpg,"Tokha,Kathmandu"
Taudaha lake,"Taudaha Lake is a small lake in the outskirts of Kathmandu, in Nepal. The name comes from a combination of Newari words 'Ta', meaning snake and 'Daha', which means lake",location/taudaha.jpg," Kirtipur,kathmandu"
Phulchowki Hike,"Phulchowki is the highest hill in Kathmandu valley, which means that the views from the top are sure to be astounding! You are bound to find hikers with you as you try to scale this hill. Your hike is punctuated by snow-capped mountains, exotic birds and towering mountains on all sides. Once you reach the village, spare a visit to the Botanic Garden to spy some colourful, eclectic plants. You can also stay in hotels or camp at designated locations.",location/phulchowki.jpg,"Phulchowki,Kathmandu"
Kakani Hike,"This gorgeous route takes you right through the alpine forests, to Kakani - a small village near Kathmandu. The trail is easy, gravely and has a very slight incline, making it easy to hike. If you want to rest, there are numerous picnic spots and roadside shops to take a quick break. Don't forget to try the local cuisine at Kakani!",location/kakani.jpg,kakani
Amitabha Monastery Hike,"Amitabha Monastery is also called Seto Gumba, which means 'White Monastery' in the local language. The breathtaking monastery is made of white stones, giving it a pristine faï¿½ade. The walls are decked with local murals and frescoes that depict the life of the Buddha and the Buddhist culture. The monument is also home to sacred statues made of medicinal clay. The Stupa looks breathtaking during sunset! The route is much-frequented, so you are bound to find some trusty hiking companions as well. ",location/a.jpg,Nagarjun 
Buddhanilkantha,"Budhanilkantha Temple, located in Budhanilkantha, Nepal, is a Hindu open air temple dedicated to Lord Vishnu. Budhanilkantha Temple is situated below the Shivapuri Hill at the northern end of the Kathmandu valley. and can be identified by a large reclining statue of Lord Vishnu",location/b.jpg,Naranthan
Kopan Monastery,"Kopan Monastery is a Tibetan Buddhist monastery near Boudhanath, on the outskirts of Kathmandu, Nepal. It is a member of the Foundation for the Preservation of the Mahayana Tradition, an international network of Gelugpa dharma centers, and once served as its headquarters.",location/k.jpg,kopan
Swyambunath The Monkey Temple,"Swayambhunath is, perhaps, the perfect location to observe the religious harmony in Nepal.  It is also known as the Monkey temple because of the presence of a massive number of monkeys around the temple. The stupa is among the most ancient stupa of Kathmandu valley. The worshippers of this stupa are diverse from Newar nuns, Tibetan monks and Brahmin priests to  Buddhists and Hindus.",location/s.jpg,"	Swayambhu, Kathmandu"
Changunarayan,"Changunaryan Temple in the Changu village is believed to be as one of the most ancient temples of Kathmandu valley. The temple showcases a fifth-century stone inscription and is the oldest discovery of Nepal. Changunarayan temple was built in the 3rd century and covers the sixteen hundred years in the history of Nepal. The temple showcases the best craftings of wood, stone, and metal in the valley.",location/c.jpg,Dolagiri
Patan Durbar Square,Patan city is one of the oldest cities in Kathmandu valley and it is also known as Lalitpur. Patan Durbar Square is one of the main attraction of this city which is situated  8 km south-east of Kathmandu city. The city is believed to be founded in the 3rd century and is an open museum of the beautiful Newari craftsmanship.,location/p.jpg,Patan
Bhaktapur Durbar Square,"Bhaktapur Durbar Square is the main the focus of Bhaktapur sightseeing, but it is not the only impressive place to see in the city. Bhaktapur contains a lot of temples and places of interest because you can see. It is unique as it is one of the few sights in Nepal that hosts a great variety of attractions with unique handmade designs at the same location.",location/bhaktapur.jpg,bhaktapur
Kathmandu Durbar square,Kathmandu Durbar Square is situated at the center of the Kathmandu valley and is popularly known as Hanuman Dhoka Palace which means the Gateway of,location/kat.jpg,kathmandu
Pashupatinath,"The Pashupatinath Temple is a famous and sacred Hindu temple complex that is located on the banks of the Bagmati River, approximately 5 km north-east of Kathmandu in the eastern part of Kathmandu Valley, the capital of Nepal. The temple serves as the seat of Pashupatinath",location/pashupati.jpg,Gaushala
Narayanhiti Palace Museum,"The Narayanhiti Palace Museum is a public museum in Kathmandu, Nepal located east of the Kaiser Mahal and next to Thamel. The museum was created in 2008 from the complex of the former Narayanhiti Palace following the 2006 revolution. Before the revolution, the palace was the residence and principal workplace of the monarch of the Kingdom of Nepal, and hosted occasions of state",location/N.jpg,"Narayanhiti Palace Museum North Gate Rd, Kathmandu "
Taleju Temple,This is one of the important temple in the valley having a great popularity. This temple is only opened during the time of Dashain(one of the main festival in Nepal). Many animals are sacrificed for Taleju Bhawani. Temple is really grand as it is elevated with stairs. The architecture and arts in this temple are worth of describing.,location/t.jpg,"layaku marg, kathmandu "
Hanuman Dhoka Durbar,"Hanuman Dhoka is a complex of structures with the Royal Palace of the Malla kings and also of the Shah dynasty in the Durbar Square of central Kathmandu, Nepal. It is spread over five acres. The Hanuman Dhoka Palace gets its name from the stone image of Hanuman, the Hindu deity, that sits near the main entryway. 'Dhoka' means door or gate in Nepali.",location/h.jpg,kathmandu
Chandragiri Cable Car Bottom Station Nepal,"Chandragiri Cable Car is a gondola lift transportation system located in Chandragiri Municipality, Nepal. Opened on 2016, the Chandragiri Cable Car runs from Thankot to Chandragiri hills. The 2.4 km (9,095 ft) line has two stations. ... 85ï¿½12'52E? / ?27.686321ï¿½N 85.214510ï¿½E? / 27.686321; 85.214510 Bottom Station""",location/chandragiri.jpg, Chandragiri
Uma Maheshwor Temple,"The temple of Uma-Maheshwar is situated near the Malla-period palace on the top of the Kirtipur hill. ... According to a copper inscription found in the temple, the temple was built by Patra Vamsha Raut Vishow Nath of Ta: Bahal of Kirtipur in Baisakh of the Nepal year 775.",location/u.jpg,Kritipur
Siddhartha Art Gallery,A gallery for the contemporary art scenes in kathmandu.,location/si.jpg,"Babermahal Revisited premises, Tanka Prasad Ghumti Sadak, Kathmandu"
Badikhel,"Badikhel is a village and former Village Development Committee that is now part of Godawari Municipality in Province No. 3 of central Nepal. At the time of the 1991 Nepal census it had a population of 2711 in 461 individual households. A local dialect of the Newar language is spoken here. Its native speakers call it Pahari or Nagarkote, while to the Newar speakers of neighbouring Patan it is known as Pahibhae",location/ba.jpg,Badikhel
Nagarkot,"Nagarkot is a former Village Development Committee located 32 km east of Kathmandu, Nepal in Bhaktapur District in Bagmati Pradesh and as of 2015 part of Nagarkot Municipality. At the time of the 2011 census it had a population of 4571 and had 973 houses in it. At an elevation of 2,195 meters, it is considered one of the most scenic spots in Bhaktapur District. It is known for a sunrise view of the Himalayas including Mount Everest as well as other peaks of the Himalayan range of eastern Nepal. Nagarkot also offers a panoramic view of the Kathmandu Valley",location/na.jpg,Nagarkot
Lankuri Bhanjyang,Hiking and outdoor recreation,location/la.jpg,Lakuri Bhanjyang
Dharahara Tower,"Dharahara, also called Bhimsen Tower, was a nine-storey, 61.88-metre-tall tower at the centre of Sundhara, Kathmandu, Nepal. It was built in 1832 by Mukhtiyar Bhimsen Thapa under the commission of Queen Lalit Tripurasundari and was a part of the architecture of Kathmandu recognized by UNESCO. The tower had a spiral staircase containing 213 steps. The eighth floor held a circular balcony for observers that provided a panoramic view of the Kathmandu valley. It also had a 5.2-metre bronze mast on the roof.",location/daa.jpg,sundhara
Kumari Ghar,Beautifully built traditional Nepali temple for the living goddess kumari.,location/ku.jpg,Hanumandhoka
Durbar Marg,"Durbar Marg or Durbarmarg is a broad, long avenue in the Nepali capital, Kathmandu. It can be considered the heart of the city, akin to the Champs Elysï¿½es and the chief avenues of many capitals. As it leads to the Royal Palace of Narayanhiti, it is also known the King's Way among foreigners, Durbar meaning, as in the Moghul Empire, a royal gathering or court. It is a major tourist draw, vying with Thamel. ",location/durbar.jpg,Durbar Marg
Rani Pokhari,"Rani Pokhari meaning queen's pond, originally known as Nhu Pukhu meaning new pond, is a historic artificial pond located in the heart of Kathmandu, Nepal. The square-shaped tank dates from the 17th century, and was built on the eastern side of the then city limits. It lies just outside a former city gate. The pond is one of Kathmandu's most famous landmarks and is known for its religious and aesthetic significance. Its dimensions are 180m by 140m. It was damaged by the earthquake of 2015 AD and is currently under construction. ",location/rani.jpg,Kathmandu
The Taragaon Museum,Must visit place if u love art exhibition and has a nice cafe over there,location/tara.jpg,"Boudhanath Sadak, Kathmandu"
Central Zoo,"The Central Zoo is a 6-hectare zoo in Jawalakhel, Nepal. It is home to some 870 animals in 109 species, and is operated by the National Trust for Nature Conservation. Although it was originally a private zoo, it was opened to the public in 1956. During the Bhoto Jatra festival, celebrated near the zoo, the zoo may see upwards of 34,000 visitors in a single day after they come to see a historical jeweled vest at the culmination of the Rato Machchhindranath jatra. ",location/zoo.jpg,"Jawalakhel Rd, Lalitpur"
Tundikhel,"Tudikhel/Tundikhel is a large grass-covered ground in the center of Nepal's capital Kathmandu and one of its most important landmarks. The field is rectangular in shape and has a north-south orientation. It lies between Ratna Park in the north and Sahid Gate, the memorial dedicated to the martyrs of 1941, in the south. Tundikhel's history goes back to at least the early 18th century during the Malla period.",location/tu.jpg," Kantipath Rd, Kathmandu"
Kaal Bhairav,It was discovered by King Pratap of the Malla dynasty amidst paddy fields in the 17th century.,location/bai.jpg,"Hanuman Dhoka Road, Kathmandu "
Whoopee Land Amusement Water Park,Rides & water slides in a lush setting,location/w0.jpg,"Chobar,Kathmandu"
Jamacho Gumba ,Worth destination for hiking and perfect view point for Kathmandu valley and mountain region.,location/ja.jpg,Nagarjun
Sundari Chowk,Tourist Attraction,location/hh.jpg,Patan.Lalitpur
Jagat-Narayan Temple,The Jagat Narayan temple is a tall Shikhara-style temple consecrated to Lord Vishnu. The temple is built out of the red bricks on the bank of the Sagmati at Sankharnul and enshrines many stone images. The fine metal statue of Garuda placed on a stone monolith is quite eye-catching along with similarly placed images of Ganesh and Hanuman..,location/g.jpg,"Sankhamul Bridge, Lalitpur"
Gokarna Forest Resort,"Tucked away in the serene Gokarna forest, a protected sanctuary that was once a private hunting grounds for the former royals of Nepal, the Gokarna Forest Resort offers an immersive retreat into nature a mere 10 kilometeres away from the hustle and bustle of Kathmandu. ",location/ix.jpg,"Gokarna,Kathmandu"
Namobuddha Monastery,"The Thrangu Tashi Yangtse Monastery is a Tibetan Buddhist monastery about 40 km southeast of Nepal's capital city Kathmandu and 2.3km from Manegaun, a Tamang village. It lies at the top of the hill in Namobuddha Municipality. It is one of the most beautiful and a center for tourism. The main festivals and mela celebrated here are Kartik Purnima and Buddha Jayanti. ",location/nam.jpg,"Namobuddha Rd, Simalchaur Syampati"
Ason Bazar,"Asan is a ceremonial, market and residential square in central Kathmandu, the capital of Nepal. It is one of the most well-known historical locations in the city and is famed for its bazaar, festival calendar and strategic location. Asan has been described as one of the fine Newar examples of a traditional Asian bazaar. The Tuladhar, Maharjan, Shrestha, Bajracharya and Shakya castes make up most of the population. Six streets converge on Asan giving the square a perpetual bustle.",location/asan.jpg,"Chittadhar Marg, Kathmandu"
National Museum of Nepal,"The National Museum of Nepal is a popular attraction of the capital city of Kathmandu. About a century old, the museum stands as a tourist destination and historical symbol for Nepal. Being the largest museum of the country of Nepal, it plays an important role in nationwide archaeological works and development of museums. For the residents of Kathmandu, the monument serves to relive the battles fought on the grounds of Nepal. The main attractions are collection of historical artworks and a historical display of weapons ",location/national.jpg, Kathmandu
55 Windows Palace,18th-century palace with intricate decor,location/ka.jpg," Durbar Square, Bhaktapur"
Siddha Pokhari,You can also feed fishes and enjoy different colorful fishes.,location/sid.jpg,bhaktapur
Naag Pokhari,"Historical landmark located at Nagpokhari, Kathmandu.",location/nax.jpg,Naxal.Kathmandu
Royal Nepal Golf Club,"The first golf course in Nepal was the Gauchar Golf Course, in Gaucharan, established by General Kiran Shumsher in 1917, after observing the sport in Scotland. This first course was in Nepal 'browns', i.e. greens consisted of sand mixed with oil. King Tribhuvan Shah and his son Prince Basundhara Shah also played golf. When the adjacent airfield was expanded, the golf course had to be shortened. On September 5, 1965, the club received the designation 'Royal' by King Mahendra, the son of Tribhuvan, and the club was named ""The Royal Nepal Golf Club"" and Prince Basundra became the second president of the club. The founder members of the RNGC were the then S.P. Khadgajeet Baral, the then tennis champion Hem Lama, etc. The members were mostly foreigners and members of the Shah and Rana families. When the airport was expanded again in 1982, the golf course was remodeled. In 1983, the Royal Nepal Golf Course was awarded another ground.",location/nag.jpg,kathmandu
Gokarna Golf Course,"Deer and monkey wander freely, as will the spirits of all who enter.",location/go.jpg,"Gokarna,Kathmandu"
